activity,confidence,timestamp,phone_lat,phone_long
Still,100,Thu Oct 28 20:42:38 GMT+02:00 2021,55.8247614,9.8646309
Still,100,Thu Oct 28 20:42:43 GMT+02:00 2021,55.8247617,9.864627
Still,100,Thu Oct 28 20:42:53 GMT+02:00 2021,55.8247691,9.8646322
Still,100,Thu Oct 28 20:42:58 GMT+02:00 2021,55.8247735,9.864639
Still,100,Thu Oct 28 20:43:04 GMT+02:00 2021,55.8247871,9.8646365
Still,100,Thu Oct 28 20:43:09 GMT+02:00 2021,55.824771,9.8646338
Still,100,Thu Oct 28 20:43:14 GMT+02:00 2021,55.8247645,9.8646346
Still,100,Thu Oct 28 20:43:19 GMT+02:00 2021,55.8247894,9.8646131
Still,100,Thu Oct 28 20:43:22 GMT+02:00 2021,55.8248144,9.8645914
Still,100,Thu Oct 28 20:43:27 GMT+02:00 2021,55.8248454,9.8645647
Still,98,Thu Oct 28 20:43:34 GMT+02:00 2021,55.8248099,9.8645901
Still,98,Thu Oct 28 20:43:39 GMT+02:00 2021,55.8247892,9.8646123
Still,100,Thu Oct 28 20:43:48 GMT+02:00 2021,55.8247713,9.8646364
Still,100,Thu Oct 28 20:43:59 GMT+02:00 2021,55.8248057,9.8645938
Still,100,Thu Oct 28 20:44:09 GMT+02:00 2021,55.8247813,9.864627
Still,100,Thu Oct 28 20:44:19 GMT+02:00 2021,55.8248201,9.8645968
Still,100,Thu Oct 28 20:44:24 GMT+02:00 2021,55.824774,9.8646272
Still,100,Thu Oct 28 20:44:34 GMT+02:00 2021,55.8247853,9.8646259
Still,100,Thu Oct 28 20:44:39 GMT+02:00 2021,55.8247643,9.8646316
Still,100,Thu Oct 28 20:44:44 GMT+02:00 2021,55.8247776,9.8646268
Still,100,Thu Oct 28 20:44:49 GMT+02:00 2021,55.8247823,9.8646244
Still,100,Thu Oct 28 20:44:56 GMT+02:00 2021,55.8247667,9.8646434
Still,100,Thu Oct 28 20:45:06 GMT+02:00 2021,55.824843,9.8645869
Still,100,Thu Oct 28 20:45:11 GMT+02:00 2021,55.8248032,9.8646022
Still,100,Thu Oct 28 20:45:21 GMT+02:00 2021,55.8248277,9.8645768
Still,100,Thu Oct 28 20:45:26 GMT+02:00 2021,55.8247767,9.8646299
Still,100,Thu Oct 28 20:45:32 GMT+02:00 2021,55.8247662,9.8646432
Still,100,Thu Oct 28 20:45:37 GMT+02:00 2021,55.8247717,9.8646315
Still,100,Thu Oct 28 20:45:43 GMT+02:00 2021,55.8247806,9.8646211
Still,100,Thu Oct 28 20:45:54 GMT+02:00 2021,55.8247759,9.8646332
Still,100,Thu Oct 28 20:45:59 GMT+02:00 2021,55.824785,9.8646218
Still,100,Thu Oct 28 20:46:09 GMT+02:00 2021,55.8247813,9.8646222
Still,100,Thu Oct 28 20:46:19 GMT+02:00 2021,55.8247729,9.8646315
Still,100,Thu Oct 28 20:46:24 GMT+02:00 2021,55.8247965,9.8646065
Still,100,Thu Oct 28 20:46:29 GMT+02:00 2021,55.8247822,9.864626
Still,100,Thu Oct 28 20:46:39 GMT+02:00 2021,55.8247689,9.8646371
Still,100,Thu Oct 28 20:46:44 GMT+02:00 2021,55.824786,9.8646203
Still,100,Thu Oct 28 20:46:49 GMT+02:00 2021,55.8247751,9.8646349
Still,100,Thu Oct 28 20:46:54 GMT+02:00 2021,55.8247719,9.8646332
Still,100,Thu Oct 28 20:47:04 GMT+02:00 2021,55.8247803,9.8646231
Still,100,Thu Oct 28 20:47:09 GMT+02:00 2021,55.8247834,9.8646195
Still,100,Thu Oct 28 20:47:14 GMT+02:00 2021,55.8247844,9.8646168
Still,100,Thu Oct 28 20:47:19 GMT+02:00 2021,55.8247691,9.8646358
Still,100,Thu Oct 28 20:47:24 GMT+02:00 2021,55.8247749,9.8646321
Still,100,Thu Oct 28 20:47:34 GMT+02:00 2021,55.8247844,9.8646167
Still,100,Thu Oct 28 20:47:39 GMT+02:00 2021,55.8247766,9.8646211
Still,100,Thu Oct 28 20:47:50 GMT+02:00 2021,55.8247872,9.8646136
Still,100,Thu Oct 28 20:47:55 GMT+02:00 2021,55.824788,9.8646135
Still,100,Thu Oct 28 20:48:00 GMT+02:00 2021,55.8248127,9.864591
Still,100,Thu Oct 28 20:48:06 GMT+02:00 2021,55.8248072,9.8645935
Still,100,Thu Oct 28 20:48:17 GMT+02:00 2021,55.8247794,9.8646262
Still,100,Thu Oct 28 20:48:22 GMT+02:00 2021,55.8247698,9.8646395
Still,100,Thu Oct 28 20:48:32 GMT+02:00 2021,55.8247666,9.8646423
Still,100,Thu Oct 28 20:48:37 GMT+02:00 2021,55.8247707,9.8646303
Still,100,Thu Oct 28 20:48:47 GMT+02:00 2021,55.824816,9.8645952
Still,100,Thu Oct 28 20:48:57 GMT+02:00 2021,55.8248087,9.86459
Still,100,Thu Oct 28 20:49:02 GMT+02:00 2021,55.8248001,9.8645956
Still,100,Thu Oct 28 20:49:07 GMT+02:00 2021,55.8247829,9.8646219
Still,100,Thu Oct 28 20:49:12 GMT+02:00 2021,55.824773,9.8646307
Still,100,Thu Oct 28 20:49:17 GMT+02:00 2021,55.8247822,9.8646204
Still,100,Thu Oct 28 20:49:22 GMT+02:00 2021,55.8247695,9.8646398
Still,100,Thu Oct 28 20:49:32 GMT+02:00 2021,55.8248115,9.864593
Still,100,Thu Oct 28 20:49:37 GMT+02:00 2021,55.8248796,9.8645648
Still,100,Thu Oct 28 20:49:47 GMT+02:00 2021,55.8247896,9.8646196
Still,100,Thu Oct 28 20:49:52 GMT+02:00 2021,55.8247657,9.8646307
Still,100,Thu Oct 28 20:50:02 GMT+02:00 2021,55.8248096,9.8645908
Still,100,Thu Oct 28 20:50:07 GMT+02:00 2021,55.8247802,9.8646178
Still,100,Thu Oct 28 20:50:12 GMT+02:00 2021,55.824779,9.8646207
Still,100,Thu Oct 28 20:50:18 GMT+02:00 2021,55.8247918,9.8646055
Still,100,Thu Oct 28 20:50:28 GMT+02:00 2021,55.8248164,9.8645785
Still,100,Thu Oct 28 20:50:38 GMT+02:00 2021,55.8247783,9.8646252
Still,100,Thu Oct 28 20:50:43 GMT+02:00 2021,55.8247768,9.8646266
Still,100,Thu Oct 28 20:50:53 GMT+02:00 2021,55.8248506,9.8645786
Still,100,Thu Oct 28 20:50:58 GMT+02:00 2021,55.8248373,9.8645752
Still,100,Thu Oct 28 20:51:03 GMT+02:00 2021,55.8248141,9.8645895
Still,100,Thu Oct 28 20:51:08 GMT+02:00 2021,55.8247806,9.8646229
Still,100,Thu Oct 28 20:51:18 GMT+02:00 2021,55.8247753,9.8646255
Still,100,Thu Oct 28 20:51:29 GMT+02:00 2021,55.8248096,9.8645889
Still,100,Thu Oct 28 20:51:39 GMT+02:00 2021,55.8247807,9.8646295
Still,100,Thu Oct 28 20:51:44 GMT+02:00 2021,55.8247905,9.8646185
Still,100,Thu Oct 28 20:51:54 GMT+02:00 2021,55.8247786,9.8646271
Still,100,Thu Oct 28 20:51:59 GMT+02:00 2021,55.8247784,9.8646269
Still,100,Thu Oct 28 20:52:04 GMT+02:00 2021,55.824774,9.8646362
Still,100,Thu Oct 28 20:52:09 GMT+02:00 2021,55.8247698,9.8646392
Still,100,Thu Oct 28 20:52:19 GMT+02:00 2021,55.824774,9.8646315
Still,100,Thu Oct 28 20:52:29 GMT+02:00 2021,55.8247877,9.8646148
Still,100,Thu Oct 28 20:52:39 GMT+02:00 2021,55.8247982,9.864601
Still,100,Thu Oct 28 20:52:43 GMT+02:00 2021,55.8247992,9.8646003
Still,100,Thu Oct 28 20:52:49 GMT+02:00 2021,55.8248888,9.8645666
Still,100,Thu Oct 28 20:52:54 GMT+02:00 2021,55.8249482,9.8645186
Still,100,Thu Oct 28 20:53:06 GMT+02:00 2021,55.8249664,9.8645005
Still,100,Thu Oct 28 20:53:10 GMT+02:00 2021,55.8250136,9.8643833
