#TimestampInMS,gt_lat,gt_long,phone_lat,phone_long
1.28989E+12,56.25714967,10.0690625,56.25686051,10.06888092
1.28989E+12,56.25714967,10.0690625,56.25692857,10.06901897
1.28989E+12,56.25714967,10.0690625,56.25692807,10.0690437
1.28989E+12,56.25714967,10.0690625,56.2569419,10.06905979
1.28989E+12,56.25714967,10.0690625,56.25695807,10.06905426
1.28989E+12,56.25714967,10.0690625,56.25697199,10.06906424
1.28989E+12,56.25714967,10.0690625,56.25698548,10.06905912
1.28989E+12,56.25714967,10.0690625,56.25699386,10.06905158
1.28989E+12,56.25714967,10.0690625,56.25700166,10.06904328
1.28989E+12,56.25714967,10.0690625,56.25700627,10.06903557
1.28989E+12,56.25714967,10.0690625,56.25701105,10.06903096
1.28989E+12,56.25714967,10.0690625,56.25701608,10.06902736
1.28989E+12,56.25714967,10.0690625,56.25702102,10.06902384
1.28989E+12,56.25714967,10.0690625,56.25702597,10.06902107
1.28989E+12,56.25714967,10.0690625,56.25702848,10.06901872
1.28989E+12,56.25714967,10.0690625,56.25702924,10.06901805
1.28989E+12,56.25714967,10.0690625,56.25703016,10.0690178
1.28989E+12,56.25714967,10.0690625,56.2570315,10.06901763
1.28989E+12,56.25714967,10.0690625,56.25703368,10.06901788
1.28989E+12,56.25714967,10.0690625,56.2570346,10.06901772
1.28989E+12,56.25714967,10.0690625,56.25703577,10.0690178
1.28989E+12,56.25714967,10.0690625,56.25703879,10.06901948
1.28989E+12,56.25714967,10.0690625,56.25703938,10.06901956
1.28989E+12,56.25714967,10.0690625,56.25704013,10.06901981
1.28989E+12,56.25714967,10.0690625,56.25704055,10.06902006
1.28989E+12,56.25714967,10.0690625,56.25704105,10.0690204
1.28989E+12,56.25714967,10.0690625,56.25704164,10.06902073
1.28989E+12,56.25714967,10.0690625,56.25704214,10.06902107
1.28989E+12,56.25714967,10.0690625,56.2570988,10.06897849
1.28989E+12,56.25714967,10.0690625,56.25710995,10.06912559
1.28989E+12,56.25714967,10.0690625,56.25717089,10.06908913
1.28989E+12,56.25714967,10.0690625,56.25708389,10.0690722
1.28989E+12,56.25714967,10.0690625,56.25713133,10.06903054
1.28989E+12,56.25714967,10.0690625,56.25704575,10.06861924
1.28989E+12,56.25714967,10.0690625,56.25708933,10.06926951
1.28989E+12,56.25714967,10.0690625,56.25708539,10.06922685
1.28989E+12,56.25714967,10.0690625,56.25692991,10.06896692
1.28989E+12,56.25714967,10.0690625,56.25665876,10.07491514
1.28989E+12,56.25714967,10.0690625,56.25705161,10.06924009
1.28989E+12,56.25714967,10.0690625,56.25732822,10.06881152
1.28989E+12,56.25714967,10.0690625,56.25696159,10.06927152
1.28989E+12,56.25714967,10.0690625,56.25709646,10.06918569
1.28989E+12,56.25714967,10.0690625,56.25684576,10.06950588
1.28989E+12,56.25714967,10.0690625,56.25726091,10.06902442
1.28989E+12,56.25714967,10.0690625,56.25707257,10.0692069
1.28989E+12,56.25714967,10.0690625,56.25705329,10.06913624
1.28989E+12,56.25714967,10.0690625,56.25716863,10.06908108
1.28989E+12,56.25714967,10.0690625,56.25709663,10.06929465
